LEFT,RIGHT
-0.629902, -0.132580
-0.632558, -0.133543
-0.635213, -0.134505
-0.637866, -0.136467
-0.637518, -0.137428
-0.637171, -0.138388
-0.637823, -0.139348
-0.637476, -0.138307
-0.639128, -0.138267
-0.638779, -0.138227
-0.638431, -0.137188
-0.638083, -0.137148
-0.637735, -0.137109
-0.637387, -0.136069
-0.638039, -0.135030
-0.638690, -0.134992
-0.642341, -0.134953
-0.647989, -0.142913
-0.653634, -0.149869
-0.654278, -0.147823
-0.653922, -0.148778
-0.655565, -0.149732
-0.656207, -0.149686
-0.656850, -0.150640
-0.656492, -0.151593
-0.656134, -0.151546
-0.656776, -0.151499
-0.656418, -0.151453
-0.658060, -0.151406
-0.658701, -0.152358
-0.659341, -0.153311
-0.660981, -0.153263
-0.662620, -0.153215
-0.664259, -0.154167
-0.664896, -0.155118
-0.665534, -0.156069
-0.666171, -0.156020
-0.666807, -0.155970
-0.668443, -0.155921
-0.670078, -0.155871
-0.672712, -0.156822
-0.672346, -0.156772
-0.671979, -0.156722
-0.672613, -0.156672
-0.672246, -0.156622
-0.673879, -0.157572
-0.674511, -0.157522
-0.674144, -0.157472
-0.674776, -0.158421
-0.675407, -0.158370
-0.678038, -0.158319
-0.677668, -0.158268
-0.677299, -0.158218
-0.679929, -0.159167
-0.680557, -0.160115
-0.683186, -0.162063
-0.682813, -0.162010
-0.682441, -0.162957
-0.685068, -0.162903
-0.685694, -0.162850
-0.686319, -0.162797
-0.686945, -0.162743
-0.688569, -0.162690
-0.689194, -0.163636
-0.689817, -0.164582
-0.690441, -0.165528
-0.690064, -0.165473
-0.690687, -0.164418
-0.690310, -0.164364
-0.689933, -0.164310
-0.691556, -0.165255
-0.691179, -0.165200
-0.690801, -0.165146
-0.691424, -0.166091
-0.692046, -0.165036
-0.692667, -0.164981
-0.691289, -0.164926
-0.692911, -0.165871
-0.694532, -0.166815
-0.694152, -0.166760
-0.693773, -0.166704
-0.692394, -0.166648
-0.693015, -0.167592
-0.693636, -0.167536
-0.693256, -0.166480
-0.693877, -0.166424
-0.692497, -0.166368
-0.692118, -0.167312
-0.691740, -0.168255
-0.694360, -0.169198
-0.701978, -0.173140
-0.704593, -0.176080
-0.704208, -0.176020
-0.703823, -0.175959
-0.704438, -0.175898
-0.708051, -0.176837
-0.708664, -0.176776
-0.710276, -0.177715
-0.711887, -0.177653
-0.711498, -0.177592
-0.714108, -0.178530
-0.717716, -0.178468
-0.720323, -0.178405
-0.719929, -0.178343
-0.719536, -0.178281
-0.719142, -0.178219
-0.716750, -0.177157
-0.717357, -0.178095
-0.717964, -0.179033
-0.717571, -0.178970
-0.720178, -0.178908
-0.720783, -0.177845
-0.721389, -0.177783
-0.720994, -0.177721
-0.720599, -0.177659
-0.720204, -0.177597
-0.719810, -0.177535
-0.720415, -0.177472
-0.720020, -0.177410
-0.719626, -0.178348
-0.719231, -0.178285
-0.718837, -0.178223
-0.718443, -0.177160
-0.718048, -0.175099
-0.718654, -0.175037
-0.718260, -0.173977
-0.718865, -0.173916
-0.721470, -0.172855
-0.721074, -0.170796
-0.720678, -0.171736
-0.720282, -0.171677
-0.719886, -0.171617
-0.720491, -0.171557
-0.720095, -0.171498
-0.720699, -0.171438
-0.720303, -0.171378
-0.719907, -0.170319
-0.719511, -0.170260
-0.718115, -0.170200
-0.718720, -0.170141
-0.718324, -0.170082
-0.717929, -0.170023
-0.720533, -0.169964
-0.720136, -0.169904
-0.719740, -0.169845
-0.719344, -0.169786
-0.718947, -0.168727
-0.718551, -0.167668
-0.718155, -0.166610
-0.717759, -0.166553
-0.717364, -0.166495
-0.716968, -0.166437
-0.718572, -0.167379
-0.718176, -0.168321
-0.717779, -0.168262
-0.717383, -0.168203
-0.715988, -0.167145
-0.715592, -0.164087
-0.715197, -0.163031
-0.715802, -0.162975
-0.715406, -0.162918
-0.715011, -0.162862
-0.714615, -0.162806
-0.724218, -0.164749
-0.731816, -0.164692
-0.731412, -0.162635
-0.732008, -0.160579
-0.731604, -0.160524
-0.731201, -0.161468
-0.731797, -0.162412
-0.731393, -0.162356
-0.731989, -0.162300
-0.732584, -0.162244
-0.733179, -0.162187
-0.733774, -0.162131
-0.733368, -0.162075
-0.732963, -0.162018
-0.732558, -0.161962
-0.731153, -0.161906
-0.729749, -0.161850
-0.729345, -0.163793
-0.729941, -0.163736
-0.731537, -0.164678
-0.732132, -0.165620
-0.731726, -0.165562
-0.729322, -0.165504
-0.727918, -0.164446
-0.728514, -0.163388
-0.729110, -0.163331
-0.731705, -0.163274
-0.733299, -0.162217
-0.732893, -0.161160
-0.731487, -0.161104
-0.731081, -0.161048
-0.729676, -0.160991
-0.728271, -0.160935
-0.727867, -0.159879
-0.728463, -0.159823
-0.729058, -0.158768
-0.729653, -0.157713
-0.730247, -0.157658
-0.729841, -0.157603
-0.729436, -0.157548
-0.729031, -0.157493
-0.728625, -0.157439
-0.728220, -0.157384
-0.727815, -0.157329
-0.728410, -0.157274
-0.729004, -0.156220
-0.728599, -0.154166
-0.728193, -0.154112
-0.728788, -0.154059
-0.728382, -0.154006
-0.727976, -0.154952
-0.727571, -0.154898
-0.727165, -0.154844
-0.725760, -0.155790
-0.726355, -0.155736
-0.726950, -0.153682
-0.726545, -0.152629
-0.726139, -0.152576
-0.726734, -0.151524
-0.727328, -0.150472
-0.728922, -0.148420
-0.728515, -0.148369
-0.728109, -0.148318
-0.726702, -0.146268
-0.725297, -0.145218
-0.723892, -0.144169
-0.723487, -0.144120
-0.723082, -0.144071
-0.722678, -0.143022
-0.722274, -0.143974
-0.720870, -0.143925
-0.719466, -0.143876
-0.727062, -0.151825
-0.734653, -0.156771
-0.734242, -0.156715
-0.733832, -0.156660
-0.733422, -0.156605
-0.733011, -0.156549
-0.733601, -0.155494
-0.734191, -0.155439
-0.733780, -0.154385
